id,text,dataset,anger,fear,joy,sadness,disgust,surprise,primary_anger,secondary_anger,primary_disgust,secondary_disgust,primary_fear,secondary_fear,primary_joy,secondary_joy,primary_sadness,secondary_sadness,primary_surprise,secondary_surprise
10896,@LeonWobYP b***er off. NCFC is a grudge match :),dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10897,Might just leave and aggravate bae,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10898,"Realest ever, relentless ever, inevitable that I win.",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10899,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm  #bored",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10900,"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10901,"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10902,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10903,@LiamCannon1 He's just too raging to type properly... Ha ha!,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10904,#oow16 #sting decent new song,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10905,Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10906,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10907,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10908,"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10909,"I miss my gran singing Rawhide, in her deep baritone growl.",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10910,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10911,Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10912,@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10913,@fluffysoftlouis no no. I insist that you give me your best insult first,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10914,@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10915,@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10916,"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10917,"I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10918,Eat my ass' is no longer an insult,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10919,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10920,"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10921,"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10922,"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10923,"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10924,"Anger, resentment, and hatred are the destroyer of your fortune today.",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10925,"Anger, resentment, and hatred are the destroyer of your fortune today.'",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10926,If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10927,Sting is just too damn earnest for early morning listening. ,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10928,Sting is just too damn earnest for early morning listening. #sting,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10929,Just seeing Alex revells face gets me angry,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10930,"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10931,@danbloom1 beware the fury of a weak king,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10932,@DJ_JeanFranko growl!!!,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10933,"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10934,"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10935,"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10936,@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10937,"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10938,I hope my hustle don't offend nobody,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10939,"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
10940,Lol little things like that make me so angry x,dev.target,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
21147,I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21148,This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21149,"@JeffersonLake speaking of ex cobblers, saw Ricky Holmes at Charlton last week.. tracking back &amp; defending... I dread seeing Gorre on ball..",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21150,@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21151,"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea ",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21152,"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21153,Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21154,"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21155,If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21156,There goes the butterflies in my stomach. #nervous #anxietyproblems,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21157,There goes the butterflies in my stomach.  #anxietyproblems,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21158,@Evan_McMullin @TheBlazeRadio Classic SHITLIB bullshit. Create a horrible problem and then 'discuss' how to solve it. What a PIMP.,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21159,@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21160,"Honestly, there are some awful people on the internet... smh...",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21161,"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21162,"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21163,“We can easily #forgive a #child who is #afraid of the #dark; the real #tragedy of #life is when #men are #afraid of the #light.”–Plato,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21164,@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? #shocking,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21165,@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? ,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21166,Having a terrific Tuesday? Crush it today with the Power of 4. Treat your internet like Pizza =D \n#PowerOf4,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21167,@joey_coops yes Hun! Avoid at all costs!! #nightmare,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21168,@joey_coops yes Hun! Avoid at all costs!! ,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21169,The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21170,The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? ,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21171,You want  bad service use #frontier they have #terrible service. Go to #AT&amp;T anybody is better. I am going to complain to better business,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21172,@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21173,@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21174,"By officialy adopting #BurhanWani, a #Hizbul terrorist, #Pakistan n #NawazSharif hv md a cardinal mistake 2day tht'll haunt fr years. #UNGA",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21175,"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan ",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21176,"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan #timid",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21177,Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21178,Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21179,"@spencer0415 awe, I love you kid!!",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21180,"The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now.",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21181,"@AlaskaGurus @adventuretweets agreed! 😍 an awe to meet such beautiful, powerful animals.",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21182,@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21183,Nothing worse than an uber driver that can't drive. #awful,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21184,Nothing worse than an uber driver that can't drive. ,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21185,On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21186,On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot ,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21187,"⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21188,"But I was so intrigued by your style, boy.Always been a sucker for a wild boy #alarm -@AnneMarieIAm",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21189,@SAHARTHERAPPER I unfollowed without hesitation &lt;3,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21190,Watching It Follows.  This is a super freaky movie.  #scary,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21191,"They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐.",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21192,And I cried in front of my guy last night. And it's just been a horrible week but it's only for a week,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21193,"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21194,also i had an awful nightmare involving being sick where worms were involved i was so disgusted when i woke up,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21195,"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21196,@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21197,@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! ,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21198,#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21199,"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people?  #recluse #issues",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21200,My Modern Proverb: 'Don't let anyone intimidate you about being single; most marriages end in divorce.',dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21201,"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21202,Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21203,Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !!  #longingformore,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21204,I have been seeing terrible terrible prescriptions this week. What's going on?,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21205,"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21206,Dunno y am going to the Yorkshire scare grounds when I only lasted a minute in the Alton towers one before running out a fire exit crying,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21207,@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21208,Rooney shocking attempted cross,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21209,That's an awful miss from Rooney.,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21210,Another fun fact: i am afraid,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21211,Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21212,I don't want speak front to him #afraid #intimidate #nopanicattack,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21213,I don't want speak front to him   #nopanicattack,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21214,I want to be a woman who #overcomes obstacles by tackling them in #faith instead of tiptoeing around them in #fear. Renee Swope,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21215,When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21216,When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help  #heart #HeartRacing,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21217,@RyanAbe awe yay thank god I was so worried.,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21218,About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography #horror,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21219,About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21220,@hollywooddivas @TMZ_Sports Idiots like Larry Sanders scare us All!How can Morons these days Rush 2 Judge #Police w/o all facts yet?FU thugs,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21221,Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate #awful,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21222,Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate ,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21223,T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
21224,The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,dev.target,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
